0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
-220.06168,121.37541,13.6451845,27.29116,1.6022049,4.803887,-6.312957,-0.2925527,-18.348698,-12.513326,-12.562324,-3.9548068,-5.2660136,2.0729015,-5.2004404,-1.1427014,-3.8194606,-3.0499287,-0.99742585,-2.612658,-6.8046694,-5.352182,-2.4137483,2.2371724,0.5264755,3.4015281,romantic
-201.24396,129.12253,-8.411175,21.236235,12.25458,3.8780866,2.1104136,8.462033,4.144188,2.404568,-0.9029985,0.6121592,-4.2580976,-1.7100611,-0.15134418,4.908288,4.476649,5.2763767,-2.7900004,-2.4721675,-4.209112,-2.5146248,-7.329922,-4.683702,-2.6743495,-1.8764076,romantic
-185.57043,120.7001,-19.663717,30.300268,5.58924,2.119827,8.5472,12.56511,6.7748814,8.10381,4.131435,2.5323362,-1.3651962,-0.45240533,2.694086,6.1728544,-0.24614881,2.841926,-2.2136068,-6.5148735,0.5989937,0.9796403,-0.99802977,1.1534233,-2.156063,-1.3844652,romantic
-256.67792,117.222305,-6.2149744,0.57734704,-4.9614835,-23.664001,-19.92784,-12.32969,-18.48709,-10.238914,-6.599068,-5.097717,-11.626669,-11.229731,-7.4376497,-4.7098145,-0.9032785,0.38221872,-15.739581,-14.271089,-14.806613,-0.75194126,0.31670934,0.15752852,-10.980042,-10.351179,romantic
-353.51166,203.36963,9.614893,-12.712071,5.251846,-11.170146,-18.12233,-17.552046,-19.848684,-19.759098,-20.190426,-20.779175,-15.611665,-12.968825,-16.177162,-13.242834,-5.5409055,-1.77076,-1.079561,-0.64026576,-0.008980483,2.5223973,2.906748,-5.6708646,-12.682853,-9.334079,romantic
-137.94882,98.801506,-7.326156,28.086227,10.981083,14.344365,2.7792115,7.442723,4.348876,1.5071343,-7.4184,1.3580265,-1.7786894,2.4000058,-2.578752,3.4479246,-9.593452,-4.539371,-4.4468904,-0.6925499,-3.769667,-4.650646,-7.99166,-2.244464,-5.359318,-3.0900269,romantic
-158.99968,145.69032,-38.43714,1.1387646,-10.523147,-19.388754,-22.340418,-11.921784,-19.266472,-5.1584263,-23.652563,-7.3952847,-15.820566,-14.243012,-12.111352,-12.925376,-8.174569,-5.722195,-9.253614,2.0902076,-0.7806245,0.07926955,-4.6597934,-2.130255,-2.8014085,4.0036864,romantic
-176.27458,125.2158,16.762146,17.453093,16.91246,-20.387493,-10.35796,-3.2954443,-6.5824623,2.745011,-18.48174,-0.12145061,-12.457142,-13.770459,-12.4499,-12.663964,-9.688242,-17.902836,-10.576283,-8.69479,-7.1259046,-0.12844509,-1.4983602,-3.0891528,-5.84941,-2.3968465,sad
-286.84988,146.77913,26.773504,16.536747,4.750484,0.1250308,-3.406428,-8.390265,5.2599177,-10.321723,-8.444112,-5.5690064,-4.4360294,-1.0839918,-12.468492,-1.9180381,-0.30503508,0.9294988,3.787923,3.2503257,4.2053504,3.7432623,0.49498397,2.1963532,-0.19036402,3.900156,sad
-214.91142,115.99886,-7.8477936,36.34807,12.603089,-1.883753,6.388489,-1.878379,-11.102511,-2.0814528,-5.290176,-2.4134452,-8.601203,-3.4412637,-2.201585,-0.34349254,-0.67110866,2.867236,-2.92359,-5.158659,-7.1190243,-3.3852506,-4.3814216,-1.180617,-3.033475,-3.156146,sad
-94.932785,124.71098,-11.587351,20.757236,2.0984893,-0.06303212,-3.1452668,-4.2583356,-6.6291156,-1.9217619,-7.438132,4.0136056,-3.3172736,4.0269146,0.39910063,3.3853114,-4.497462,-2.5267146,-7.4738097,-4.7985873,-5.4463935,-0.16822043,-3.2312682,-2.5412586,-5.7103457,-0.49168947,sad
-350.55533,162.22462,57.793114,15.488191,15.81998,10.049619,3.3731437,5.3397245,5.379872,1.355672,-0.16770071,0.6412303,1.0094243,1.0424029,1.9965552,4.904263,7.754603,7.5408583,4.893511,1.7619629,-0.73113865,-1.9980707,-1.9904246,0.058759328,3.006849,2.729381,sad
-356.49316,120.26503,30.883457,29.899446,7.355801,-10.390473,1.7089341,-10.535635,-15.80037,-5.6177063,-13.13879,-5.919633,-6.621738,-6.873682,-4.730604,-1.6778349,0.59344375,3.7669182,0.040133923,2.1051075,1.3396991,-2.592795,3.9530811,3.7254956,-4.0056934,-3.7904594,sad
-203.19656,135.49211,1.2629944,32.03343,23.503185,5.2803807,7.0583496,6.2524204,-2.3511062,-3.7085967,-11.309965,4.2159076,4.013734,-2.9075184,-5.900982,2.1231275,-12.881022,-5.2761045,-2.6593754,-4.945693,-9.010809,-0.512037,-7.659144,1.7039185,2.998407,6.4101276,sad
-218.67502,87.97125,24.571642,12.044523,9.92739,4.549472,3.4570901,-2.3417294,-4.7148333,-5.881331,-8.845015,-6.302262,-14.433473,-1.2862743,-12.784435,-4.8885527,-4.4257855,0.59467244,-0.6953038,1.9861596,-2.301099,-2.3292294,-4.079741,2.534238,-0.75116956,1.5911553,sad
